D8D3C9D6-84C3-4626-B2A1-0197FC892359,Cooking Oil
3CE931C2-D5A6-44ED-B2E0-07AE4FDD0657,Orange
2F7F3329-97F0-44E7-BD72-0A492D61B93C,Aloe
58654377-BD60-4F61-894A-0A9B31242755,Candy
3EDDEC14-6E8D-47E9-875E-0BEC31546FF1,Red Onion
46A4E53D-C711-482E-9F88-0DC4449F06A9,Havarti Cheese
E0A1BB5F-FEF5-48B9-A525-0E3C5F5B21C6,Potato
67F7EDCF-5A99-4AC7-ABFA-0F70F3A8F60F,Sugar
A7E7C135-A4D9-454F-818D-16B2DFBF8008,Hazelnuts
C44213A5-217A-46E2-A548-1771896E67B3,Raspberries
D348A052-03B8-4B11-90F3-1917E93CA03D,Pineapple
817D68C6-3D11-44DE-A55C-20676AD4332F,Chardonnay
380D06D8-9136-425F-BBCD-2099FB8B2928,Apple
7F660738-465D-46EA-B089-22C658E9F4D8,Beetroot Soup
22B0531B-AC24-40E5-832C-285C3A01EC65,Salami
6C2E72E9-4CE7-43F7-B7AD-28B2390DF6C0,Honey
BDC75E82-453F-4BEE-89EF-29B35824355B,Hot Pockets
4071CEB3-EF66-42E8-B618-2E5ADFE308D7,Starfruit
812E25F2-F467-4A71-B919-2EED692A4B08,Peanut Butter
55BE336C-5FC8-4257-829F-2F16C1A5E881,French Onion Soup
152999FC-C9F7-4FC4-A322-2F67F7E4DC2B,Turkey
D2FBC912-C7D4-4E20-A882-30BF0C5BD991,Mushroom
B5AA66B4-768F-4E54-BFB6-3384EB6B8CAC,Chocolate
B40384F9-97F1-44A9-9E88-34EFE9833F61,Ice Cream
142DBCD3-35CC-4001-936E-355425930B13,Lima Beans
C0435C87-AC86-42E9-B91B-38A8DF1B68C3,BBQ Sauce
9B74D720-3743-46CF-A68B-3AA111248CBE,Soda
D9F3AA00-EA9C-4DDE-ABD4-3C84F848C820,Breadfruit
DF80CF52-2312-4CFD-B083-3D4C4B7F9A7E,Black Pepper
014346D9-14B6-4CD5-B17B-42402F19C213,Shrimp
721F7015-3382-4C38-A295-42F868D3BE0B,Chicken Nuggets
9E48968A-1CE8-4B58-A466-43EAD8DF931E,Green Apple
5A83C2A2-2C32-4CAE-97CD-45D42AE38DF4,Avocado
810DEE0A-0CD0-4843-9B84-46ECD6D7F0E9,Blueberries
F282F400-CC3E-495C-8245-4C24F383EA98,Banana
8F2816EE-8EAB-4161-B8BF-4D6C091DA4F5,Bora
145D4956-2C27-4B44-892E-50FE471F816A,Bass
7C14152A-CDB4-4AB1-AC2F-519849CEF05F,Toothpaste
78125283-3EC1-4ED3-9F70-51A5FA06D4E4,Sriracha
226B3F54-0390-4F33-8B8E-51BC4844B2C4,Watermelon
D0E03B4D-6136-434E-AB42-536C21FD5A24,Birthday Cake
E0AFEBB1-45E9-4980-8CF7-5494EB453763,Serrano Pepper
B48D311D-CCCB-4D89-BC9E-54C46E8E8855,Plum
D3A072F9-41F5-4B35-97DA-58C11A888F6A,Minestrone Soup
B9A733D9-E15D-4235-BBD0-59D1B929D732,Bell Pepper
68ADF7B9-0514-4F03-9D19-5EE660C62503,Squash
837C9BC6-71C6-4215-863A-5F9B52DE1BB7,Turducken
DA59E27C-E509-4D1D-9549-6135DA052812,Broccoli
E3BC555C-94DB-4287-ADEF-61889DDB5D25,Rosemary
BC04C9DC-A1DC-452D-8D6D-6592A1C3816B,Coffee
0E4F3261-47D4-4B9C-8B5A-66D803EE2934,Carolina Reaper
D1CDFA97-4829-4A4F-98C6-678966F28604,Veggie Patties
E74B1CB6-BFC4-4B82-A627-6931ACF5C8C0,Cabbage
0A55B2EE-91A3-40DC-9A8F-6987C60287B3,Dark Chocolate
CB8D1E43-C31A-4CB1-863A-6F9BFD4D89C6,Yuca
FB6895B0-2BCD-4A30-BFD9-7156E734F08D,Olive Oil
E755632B-3164-4F5F-BE9A-71668FB4C2F1,Salmon
EA6CE054-C016-43D7-90CD-7173EE61661B,Milk
4963DB06-0992-41DB-AEA8-723FDA129D77,Chocolate Milk
72020337-BF03-4BB7-A96C-725835DEE6F0,French Fries
03412369-327F-4139-9783-72FC278C2478,Sausage
68842217-A68C-428F-9A59-733CEEDC8434,Eggplant
C571AD8B-AA97-4730-ACBD-73478DB35177,Long Pepper
5BE3A047-51BE-4418-AB8A-73B2CAE1B10D,Mozzarella Sticks
B5E453A2-465E-4A3E-932D-755D301B9CD5,Salsa
1874A31B-3828-4BEC-BA90-7AF3E3DB33A0,Coffee Creamer
DB526CCA-91F2-47AA-87A8-7B3A6CD0EC7B,Habanero
81EDEEB8-EEB0-4F64-9564-7E3ABFCA05E9,Baking Powder
DBAFE5A6-372A-4370-ACE9-7EE3A5CC5D01,Leek
C559404F-B1DE-4441-AFB3-807B4DAE0ADC,Radish
3969C375-75DA-4877-8ADF-816337B405EF,Cantaloupe
201927E7-6021-46B5-8E19-82C1353E3E6F,Almond Butter
3EC96D73-F6A9-46FE-8E69-84771781293A,Kale
FFC91252-AF74-4B32-9FD3-84CF219B0F4C,Penne
37BAFB9D-2916-40A9-AEAE-85493D721AC7,Goat Cheese
C460A177-E6EF-4025-BB4F-866BBC49ABA7,Chicken Tenders
